adresse;name;bytes;aufrufer;ruft_auf
0x0042f867;FUN_0042f867;168;0;2
0x0042f923;FUN_0042f923;47;10;2
0x0042f952;FUN_0042f952;35;2;2
0x0042f975;FUN_0042f975;47;11;2
0x0042f9a4;FUN_0042f9a4;35;2;2
0x0042f9c7;FUN_0042f9c7;89;1;5
0x0042fa20;FUN_0042fa20;105;1;2
0x0042fa90;__aulldiv;104;1;0
0x0042fb00;__aullrem;117;1;0
0x0042fb75;FUN_0042fb75;41;1;1
0x0042fb9e;FUN_0042fb9e;97;28;7
0x0042fbff;FUN_0042fbff;21;33;1
0x0042fc14;FUN_0042fc14;72;1;1
0x0042fc5c;FUN_0042fc5c;43;3;0
0x0042fc87;FUN_0042fc87;809;2;3
0x0042ffb0;FUN_0042ffb0;777;3;2
0x004302b9;FUN_004302b9;177;1;4
0x0043036a;FUN_0043036a;251;1;1
0x00430465;FUN_00430465;758;1;0
0x0043075b;FUN_0043075b;324;2;5
0x0043089f;FUN_0043089f;86;1;2
0x004308f5;FUN_004308f5;194;1;2
0x004309b7;FUN_004309b7;87;3;0
0x00430a0e;FUN_00430a0e;69;2;1
0x00430a53;FUN_00430a53;520;3;4
0x00430c5b;FUN_00430c5b;292;1;0
0x00430d7f;FUN_00430d7f;169;1;0
